round,size,time
97,4,0:00:00.000022
97,3,0:00:00.000011
97,2,0:00:00.000005
98,20,0:00:08.201955
98,15,0:00:00.123895
98,10,0:00:00.002828
98,9,0:00:00.001176
98,8,0:00:00.000546
98,7,0:00:00.000233
98,6,0:00:00.000105
98,5,0:00:00.000048
98,4,0:00:00.000021
98,3,0:00:00.000011
98,2,0:00:00.000005
99,20,0:00:07.611730
99,15,0:00:00.124564
99,10,0:00:00.002676
99,9,0:00:00.001186
99,8,0:00:00.000547
99,7,0:00:00.000235
99,6,0:00:00.000106
99,5,0:00:00.000049
99,4,0:00:00.000022
99,3,0:00:00.000010
99,2,0:00:00.000006
