round,size,time
22,9,0:00:00.001082
22,8,0:00:00.000501
22,7,0:00:00.000214
22,6,0:00:00.000098
22,5,0:00:00.000044
22,4,0:00:00.000021
22,3,0:00:00.000009
22,2,0:00:00.000005
23,20,0:00:07.239592
23,15,0:00:00.129475
23,10,0:00:00.002665
23,9,0:00:00.001194
23,8,0:00:00.000550
23,7,0:00:00.000235
23,6,0:00:00.000106
23,5,0:00:00.000049
23,4,0:00:00.000022
23,3,0:00:00.000011
23,2,0:00:00.000006
24,20,0:00:08.220876
24,15,0:00:00.209010
24,10,0:00:00.003503
24,9,0:00:00.001439
24,8,0:00:00.000697
24,7,0:00:00.000287
24,6,0:00:00.000131
24,5,0:00:00.000060
24,4,0:00:00.000028
24,3,0:00:00.000013
24,2,0:00:00.000007
25,20,0:00:07.294942
25,15,0:00:00.115215
25,10,0:00:00.002354
25,9,0:00:00.001013
25,8,0:00:00.000476
25,7,0:00:00.000203
25,6,0:00:00.000091
25,5,0:00:00.000042
25,4,0:00:00.000019
25,3,0:00:00.000009
25,2,0:00:00.000005
26,20,0:00:07.329781
26,15,0:00:00.125315
26,10,0:00:00.002593
26,9,0:00:00.001148
26,8,0:00:00.000534
26,7,0:00:00.000232
26,6,0:00:00.000104
26,5,0:00:00.000047
26,4,0:00:00.000022
26,3,0:00:00.000010
26,2,0:00:00.000006
27,20,0:00:07.684502
27,15,0:00:00.113045
27,10,0:00:00.002224
27,9,0:00:00.000990
27,8,0:00:00.000490
27,7,0:00:00.000202
27,6,0:00:00.000092
27,5,0:00:00.000041
27,4,0:00:00.000019
27,3,0:00:00.000009
27,2,0:00:00.000004
28,20,0:00:06.963387
28,15,0:00:00.111248
28,10,0:00:00.002249
28,9,0:00:00.001079
28,8,0:00:00.000473
28,7,0:00:00.000202
28,6,0:00:00.000092
28,5,0:00:00.000042
28,4,0:00:00.000020
28,3,0:00:00.000008
28,2,0:00:00.000005
29,20,0:00:07.404252
29,15,0:00:00.112442
29,10,0:00:00.002240
29,9,0:00:00.001060
29,8,0:00:00.000472
29,7,0:00:00.000202
29,6,0:00:00.000092
29,5,0:00:00.000042
29,4,0:00:00.000019
29,3,0:00:00.000009
29,2,0:00:00.000005
30,20,0:00:06.559781
30,15,0:00:00.145256
30,10,0:00:00.002076
30,9,0:00:00.000935
30,8,0:00:00.000436
30,7,0:00:00.000187
30,6,0:00:00.000085
30,5,0:00:00.000038
30,4,0:00:00.000018
30,3,0:00:00.000008
30,2,0:00:00.000005
31,20,0:00:07.370027
31,15,0:00:00.111662
31,10,0:00:00.002303
31,9,0:00:00.001024
31,8,0:00:00.000478
31,7,0:00:00.000202
31,6,0:00:00.000092
31,5,0:00:00.000043
31,4,0:00:00.000019
31,3,0:00:00.000009
31,2,0:00:00.000005
32,20,0:00:06.791568
32,15,0:00:00.112184
32,10,0:00:00.002279
32,9,0:00:00.001022
32,8,0:00:00.000476
32,7,0:00:00.000202
32,6,0:00:00.000091
32,5,0:00:00.000042
32,4,0:00:00.000019
32,3,0:00:00.000009
32,2,0:00:00.000005
33,20,0:00:07.433383
33,15,0:00:00.117606
33,10,0:00:00.002444
33,9,0:00:00.001124
33,8,0:00:00.000504
33,7,0:00:00.000218
33,6,0:00:00.000097
33,5,0:00:00.000044
33,4,0:00:00.000021
33,3,0:00:00.000010
33,2,0:00:00.000005
34,20,0:00:07.059344
34,15,0:00:00.158884
34,10,0:00:00.002704
34,9,0:00:00.001153
34,8,0:00:00.000535
34,7,0:00:00.000228
34,6,0:00:00.000103
34,5,0:00:00.000047
34,4,0:00:00.000022
34,3,0:00:00.000011
34,2,0:00:00.000006
35,20,0:00:07.915068
35,15,0:00:00.105216
35,10,0:00:00.002238
35,9,0:00:00.000993
35,8,0:00:00.000461
35,7,0:00:00.000197
35,6,0:00:00.000090
35,5,0:00:00.000040
35,4,0:00:00.000019
35,3,0:00:00.000009
35,2,0:00:00.000005
36,20,0:00:06.944657
36,15,0:00:00.112328
36,10,0:00:00.002424
36,9,0:00:00.001071
36,8,0:00:00.000488
36,7,0:00:00.000207
36,6,0:00:00.000094
36,5,0:00:00.000043
36,4,0:00:00.000020
36,3,0:00:00.000010
36,2,0:00:00.000005
37,20,0:00:07.050426
37,15,0:00:00.111575
37,10,0:00:00.002378
37,9,0:00:00.001022
37,8,0:00:00.000473
37,7,0:00:00.000203
37,6,0:00:00.000092
37,5,0:00:00.000042
37,4,0:00:00.000019
37,3,0:00:00.000008
37,2,0:00:00.000005
38,20,0:00:07.017770
38,15,0:00:00.111337
38,10,0:00:00.002197
38,9,0:00:00.000995
38,8,0:00:00.000464
38,7,0:00:00.000197
38,6,0:00:00.000089
38,5,0:00:00.000041
38,4,0:00:00.000019
38,3,0:00:00.000009
38,2,0:00:00.000004
39,20,0:00:06.678371
39,15,0:00:00.139471
39,10,0:00:00.002261
39,9,0:00:00.000987
39,8,0:00:00.000459
39,7,0:00:00.000196
39,6,0:00:00.000089
39,5,0:00:00.000041
39,4,0:00:00.000019
39,3,0:00:00.000009
39,2,0:00:00.000004
40,20,0:00:07.122764
40,15,0:00:00.111004
40,10,0:00:00.002323
40,9,0:00:00.001026
40,8,0:00:00.000474
40,7,0:00:00.000201
40,6,0:00:00.000093
40,5,0:00:00.000041
40,4,0:00:00.000019
40,3,0:00:00.000009
40,2,0:00:00.000005
41,20,0:00:07.561349
41,15,0:00:00.121939
41,10,0:00:00.002636
41,9,0:00:00.001167
41,8,0:00:00.000545
41,7,0:00:00.000232
41,6,0:00:00.000105
41,5,0:00:00.000048
41,4,0:00:00.000022
41,3,0:00:00.000010
41,2,0:00:00.000006
42,20,0:00:07.910195
42,15,0:00:00.119949
42,10,0:00:00.002541
42,9,0:00:00.001122
42,8,0:00:00.000520
42,7,0:00:00.000222
42,6,0:00:00.000101
42,5,0:00:00.000046
42,4,0:00:00.000021
42,3,0:00:00.000009
42,2,0:00:00.000006
43,20,0:00:06.820406
43,15,0:00:00.110072
43,10,0:00:00.002408
43,9,0:00:00.001027
43,8,0:00:00.000471
43,7,0:00:00.000203
43,6,0:00:00.000092
43,5,0:00:00.000041
43,4,0:00:00.000019
43,3,0:00:00.000008
43,2,0:00:00.000005
44,20,0:00:06.883087
44,15,0:00:00.110562
44,10,0:00:00.002195
44,9,0:00:00.000965
44,8,0:00:00.000446
44,7,0:00:00.000212
44,6,0:00:00.000088
44,5,0:00:00.000040
44,4,0:00:00.000019
44,3,0:00:00.000009
44,2,0:00:00.000005
45,20,0:00:06.996677
45,15,0:00:00.127392
45,10,0:00:00.002791
45,9,0:00:00.001201
45,8,0:00:00.000553
45,7,0:00:00.000236
45,6,0:00:00.000107
45,5,0:00:00.000048
45,4,0:00:00.000022
45,3,0:00:00.000010
45,2,0:00:00.000006
46,20,0:00:07.223662
46,15,0:00:00.109370
46,10,0:00:00.002312
46,9,0:00:00.001021
46,8,0:00:00.000473
46,7,0:00:00.000202
46,6,0:00:00.000093
46,5,0:00:00.000042
46,4,0:00:00.000019
46,3,0:00:00.000009
46,2,0:00:00.000004
47,20,0:00:06.993065
47,15,0:00:00.109816
47,10,0:00:00.002178
47,9,0:00:00.001042
47,8,0:00:00.000461
47,7,0:00:00.000196
47,6,0:00:00.000090
47,5,0:00:00.000041
47,4,0:00:00.000019
47,3,0:00:00.000009
47,2,0:00:00.000005
48,20,0:00:06.742082
48,15,0:00:00.170062
48,10,0:00:00.002706
48,9,0:00:00.001192
48,8,0:00:00.000552
48,7,0:00:00.000234
48,6,0:00:00.000108
48,5,0:00:00.000049
48,4,0:00:00.000023
48,3,0:00:00.000011
48,2,0:00:00.000006
49,20,0:00:07.496865
49,15,0:00:00.110542
49,10,0:00:00.002371
49,9,0:00:00.001002
49,8,0:00:00.000461
49,7,0:00:00.000198
49,6,0:00:00.000092
49,5,0:00:00.000041
49,4,0:00:00.000019
49,3,0:00:00.000009
49,2,0:00:00.000004
50,20,0:00:06.549342
50,15,0:00:00.157892
50,10,0:00:00.002415
50,9,0:00:00.001084
50,8,0:00:00.000503
50,7,0:00:00.000215
50,6,0:00:00.000098
50,5,0:00:00.000044
50,4,0:00:00.000020
50,3,0:00:00.000010
50,2,0:00:00.000005
51,20,0:00:07.764380
51,15,0:00:00.119482
51,10,0:00:00.002556
51,9,0:00:00.001125
51,8,0:00:00.000519
51,7,0:00:00.000222
51,6,0:00:00.000102
51,5,0:00:00.000046
51,4,0:00:00.000020
51,3,0:00:00.000010
51,2,0:00:00.000005
52,20,0:00:07.195674
52,15,0:00:00.111304
52,10,0:00:00.002337
52,9,0:00:00.001025
52,8,0:00:00.000467
52,7,0:00:00.000200
52,6,0:00:00.000091
52,5,0:00:00.000041
52,4,0:00:00.000019
52,3,0:00:00.000009
52,2,0:00:00.000005
53,20,0:00:06.828986
53,15,0:00:00.113314
53,10,0:00:00.002237
53,9,0:00:00.001026
53,8,0:00:00.000474
53,7,0:00:00.000202
53,6,0:00:00.000092
53,5,0:00:00.000041
53,4,0:00:00.000019
53,3,0:00:00.000009
53,2,0:00:00.000005
54,20,0:00:06.988431
54,15,0:00:00.112542
54,10,0:00:00.002301
54,9,0:00:00.001080
54,8,0:00:00.000472
54,7,0:00:00.000201
54,6,0:00:00.000092
54,5,0:00:00.000041
54,4,0:00:00.000019
54,3,0:00:00.000010
54,2,0:00:00.000005
55,20,0:00:07.574505
55,15,0:00:00.125748
55,10,0:00:00.002754
55,9,0:00:00.001196
55,8,0:00:00.000550
55,7,0:00:00.000236
55,6,0:00:00.000107
55,5,0:00:00.000048
55,4,0:00:00.000022
55,3,0:00:00.000011
55,2,0:00:00.000005
56,20,0:00:07.552588
56,15,0:00:00.122134
56,10,0:00:00.002595
56,9,0:00:00.001154
56,8,0:00:00.000534
56,7,0:00:00.000227
56,6,0:00:00.000103
56,5,0:00:00.000046
56,4,0:00:00.000021
56,3,0:00:00.000011
56,2,0:00:00.000005
57,20,0:00:08.197146
57,15,0:00:00.131075
57,10,0:00:00.002786
57,9,0:00:00.001252
57,8,0:00:00.000570
57,7,0:00:00.000244
57,6,0:00:00.000110
57,5,0:00:00.000059
57,4,0:00:00.000023
57,3,0:00:00.000010
57,2,0:00:00.000006
58,20,0:00:08.018973
58,15,0:00:00.134504
58,10,0:00:00.002883
58,9,0:00:00.001276
58,8,0:00:00.000590
58,7,0:00:00.000252
58,6,0:00:00.000114
58,5,0:00:00.000052
58,4,0:00:00.000024
58,3,0:00:00.000011
58,2,0:00:00.000006
59,20,0:00:07.517936
59,15,0:00:00.105383
59,10,0:00:00.002210
59,9,0:00:00.000982
59,8,0:00:00.000446
59,7,0:00:00.000190
59,6,0:00:00.000088
59,5,0:00:00.000039
59,4,0:00:00.000018
59,3,0:00:00.000009
59,2,0:00:00.000005
60,20,0:00:06.799986
60,15,0:00:00.107376
60,10,0:00:00.002164
60,9,0:00:00.001006
60,8,0:00:00.000458
60,7,0:00:00.000197
60,6,0:00:00.000090
60,5,0:00:00.000040
60,4,0:00:00.000018
60,3,0:00:00.000008
60,2,0:00:00.000005
61,20,0:00:06.721355
61,15,0:00:00.107530
61,10,0:00:00.002207
61,9,0:00:00.000990
61,8,0:00:00.000463
61,7,0:00:00.000196
61,6,0:00:00.000090
61,5,0:00:00.000043
61,4,0:00:00.000019
61,3,0:00:00.000009
61,2,0:00:00.000005
62,20,0:00:07.402551
62,15,0:00:00.107373
62,10,0:00:00.002167
62,9,0:00:00.001040
62,8,0:00:00.000463
62,7,0:00:00.000197
62,6,0:00:00.000090
62,5,0:00:00.000041
62,4,0:00:00.000019
62,3,0:00:00.000009
62,2,0:00:00.000005
63,20,0:00:06.717767
63,15,0:00:00.107159
63,10,0:00:00.002190
63,9,0:00:00.001003
63,8,0:00:00.000460
63,7,0:00:00.000196
63,6,0:00:00.000088
63,5,0:00:00.000040
63,4,0:00:00.000019
63,3,0:00:00.000008
63,2,0:00:00.000004
64,20,0:00:06.818359
64,15,0:00:00.121304
64,10,0:00:00.002588
64,9,0:00:00.001147
64,8,0:00:00.000533
64,7,0:00:00.000228
64,6,0:00:00.000104
64,5,0:00:00.000047
64,4,0:00:00.000021
64,3,0:00:00.000010
64,2,0:00:00.000005
65,20,0:00:07.638130
65,15,0:00:00.107749
65,10,0:00:00.002303
65,9,0:00:00.001022
65,8,0:00:00.000472
65,7,0:00:00.000209
65,6,0:00:00.000092
65,5,0:00:00.000042
65,4,0:00:00.000019
65,3,0:00:00.000010
65,2,0:00:00.000005
66,20,0:00:06.911674
66,15,0:00:00.108807
66,10,0:00:00.002361
66,9,0:00:00.001079
66,8,0:00:00.000490
66,7,0:00:00.000207
66,6,0:00:00.000095
66,5,0:00:00.000043
66,4,0:00:00.000019
66,3,0:00:00.000009
66,2,0:00:00.000005
67,20,0:00:07.458684
67,15,0:00:00.152093
67,10,0:00:00.002825
67,9,0:00:00.001234
67,8,0:00:00.000554
67,7,0:00:00.000260
67,6,0:00:00.000110
67,5,0:00:00.000049
67,4,0:00:00.000022
67,3,0:00:00.000010
67,2,0:00:00.000006
68,20,0:00:08.072608
68,15,0:00:00.105987
68,10,0:00:00.002262
68,9,0:00:00.000965
68,8,0:00:00.000448
68,7,0:00:00.000191
68,6,0:00:00.000088
68,5,0:00:00.000040
68,4,0:00:00.000018
68,3,0:00:00.000008
68,2,0:00:00.000004
69,20,0:00:06.317263
69,15,0:00:00.106884
69,10,0:00:00.002200
69,9,0:00:00.001009
69,8,0:00:00.000459
69,7,0:00:00.000196
69,6,0:00:00.000089
69,5,0:00:00.000045
69,4,0:00:00.000019
69,3,0:00:00.000008
69,2,0:00:00.000005
70,20,0:00:07.160157
70,15,0:00:00.121301
70,10,0:00:00.002590
70,9,0:00:00.001196
70,8,0:00:00.000533
70,7,0:00:00.000228
70,6,0:00:00.000104
70,5,0:00:00.000047
70,4,0:00:00.000021
70,3,0:00:00.000011
70,2,0:00:00.000005
71,20,0:00:07.628850
71,15,0:00:00.173319
71,10,0:00:00.002921
71,9,0:00:00.001257
71,8,0:00:00.000571
71,7,0:00:00.000243
71,6,0:00:00.000111
71,5,0:00:00.000050
71,4,0:00:00.000023
71,3,0:00:00.000010
71,2,0:00:00.000006
72,20,0:00:07.158586
72,15,0:00:00.107144
72,10,0:00:00.002298
72,9,0:00:00.001000
72,8,0:00:00.000458
72,7,0:00:00.000195
72,6,0:00:00.000090
72,5,0:00:00.000042
72,4,0:00:00.000019
72,3,0:00:00.000009
72,2,0:00:00.000004
73,20,0:00:06.682049
73,15,0:00:00.158133
73,10,0:00:00.002518
73,9,0:00:00.001114
73,8,0:00:00.000524
73,7,0:00:00.000222
73,6,0:00:00.000102
73,5,0:00:00.000046
